index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
6883,Ghost Rider,PSP,PSP,2007,T,Action,Take-Two Interactive,Climax Group,0.22,0,0,0.02,0.24,49,17,5.7,13
6887,Amazing Adventures: The Forgotten Ruins,DS,DS,2008,E,Adventure,PopCap Games,Black Lantern Studios,0.13,0.08,0,0.02,0.24,\N,\N,\N,\N
6889,Forsaken,PS,PS,1998,,Shooter,Acclaim Entertainment,,0.13,0.09,0,0.02,0.24,\N,\N,\N,\N
6890,Ratchet & Clank: Going Commando (JP weekly sales),PS2,PS2,2003,,Action,Sony Computer Entertainment,,0,0,0.24,0,0.24,\N,\N,\N,\N
6898,Checkers,2600,Atari2600,1980,,Misc,Atari,,0.22,0.01,0,0,0.24,\N,\N,\N,\N
6900,X-Men: Destiny,X360,X360,2011,E10+,Action,Activision,Silicon Knights,0.18,0.05,0,0.02,0.24,33,6,5.6,7
6900,X-Men: Destiny,X360,X360,2011,T,Action,Activision,Silicon Knights,0.18,0.05,0,0.02,0.24,36,10,4.5,15
6900,X-Men: Destiny,X360,X360,2011,T,Action,Activision,Silicon Knights,0.18,0.05,0,0.02,0.24,47,51,5,72
6900,X-Men: Destiny,X360,X360,2011,T,Action,Activision,Silicon Knights,0.18,0.05,0,0.02,0.24,50,33,4.8,37
6906,Sherlock Holmes and the Mystery of Osborne House,DS,DS,2010,E10+,Adventure,Focus Home Interactive,Frogwares,0.07,0.14,0,0.03,0.24,48,11,\N,\N
6911,Asura's Wrath,X360,X360,2012,T,Action,Capcom,CyberConnect2,0.15,0.06,0.01,0.02,0.24,71,54,6.5,131
6911,Asura's Wrath,X360,X360,2012,T,Action,Capcom,CyberConnect2,0.15,0.06,0.01,0.02,0.24,71,39,7.4,169
6913,Dynasty Warriors 6 Empires,X360,X360,2009,T,Action,Tecmo Koei,Omega Force,0.16,0.02,0.04,0.02,0.24,59,24,7.3,28
6913,Dynasty Warriors 6 Empires,X360,X360,2009,T,Action,Tecmo Koei,Omega Force,0.16,0.02,0.04,0.02,0.24,62,22,7,26
6938,God Eater 2,PSP,PSP,2013,,Role-Playing,Namco Bandai Games,,0,0,0.24,0,0.24,\N,\N,\N,\N
6938,God Eater 2,PSP,PSP,2013,,Role-Playing,Namco Bandai Games,,0,0,0.24,0,0.24,\N,\N,\N,\N
6946,Sands of Destruction,DS,DS,2008,T,Role-Playing,Sega,Image Epoch,,,,,,,,,
6950,The Walking Dead: Season Two,PS4,PS4,2014,,Adventure,Telltale Games,,0.1,0.09,0.01,0.04,0.24,\N,\N,\N,\N
6950,The Walking Dead: Season Two,PS4,PS4,2014,,Adventure,Telltale Games,,0.1,0.09,0.01,0.04,0.24,\N,\N,\N,\N
6950,The Walking Dead: Season Two,PS4,PS4,2014,,Adventure,Telltale Games,,0.1,0.09,0.01,0.04,0.24,\N,\N,\N,\N
6950,The Walking Dead: Season Two,PS4,PS4,2014,,Adventure,Telltale Games,,0.1,0.09,0.01,0.04,0.24,\N,\N,\N,\N
6950,The Walking Dead: Season Two,PS4,PS4,2014,,Adventure,Telltale Games,,0.1,0.09,0.01,0.04,0.24,\N,\N,\N,\N
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,\N,\N,6.6,13
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,60,4,7.1,15
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,69,4,6.8,15
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,\N,\N,5.5,8
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,\N,\N,5.7,6
6957,LEGO Marvel's Avengers,WiiU,WiiU,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.12,0.09,0,0.02,0.23,71,18,5.1,15
6958,Naruto: Path of the Ninja 2,DS,DS,2006,E10+,Role-Playing,Takara Tomy,TOSE,0.22,0,0,0.02,0.23,62,18,7.5,6
