index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
1744,Need for Speed: Most Wanted,PSV,PSV,2012,T,Racing,Electronic Arts,EA Canada,0.38,0.52,0.01,0.25,1.16,83,54,8.5,134
1744,Need for Speed: Most Wanted,PSV,PSV,2012,,Racing,Electronic Arts,,0.38,0.52,0.01,0.25,1.16,\N,\N,\N,\N
1744,Need for Speed: Most Wanted,PSV,PSV,2012,T,Racing,Electronic Arts,EA Canada,0.38,0.52,0.01,0.25,1.16,82,36,9.1,137
1745,Final Fantasy Tactics: The War of the Lions,PSP,PSP,2007,T,Role-Playing,Square Enix,TOSE,0.45,0.25,0.3,0.16,1.16,88,41,8,238
1746,Midnight Club 3: DUB Edition Remix,PS2,PS2,2006,E10+,Racing,Take-Two Interactive,Rockstar San Diego,0.97,0.04,0,0.16,1.16,85,19,8.9,53
1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,PS2,2004,T,Shooter,Ubisoft,Red Storm Entertainment,0.57,0.44,0,0.15,1.16,70,31,6.3,24
1748,SingStar,PS3,PS3,2007,T,Misc,Sony Computer Entertainment,SCEE London Studio,0.45,0.58,0,0.13,1.16,82,48,5.9,15
1748,SingStar,PS3,PS3,2007,,Misc,Sony Computer Entertainment,,0.45,0.58,0,0.13,1.16,\N,\N,\N,\N
1749,Bushido Blade,PS,PS,1997,T,Fighting,Sony Computer Entertainment,Light Weight,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16
1750,LEGO Star Wars III: The Clone Wars,DS,DS,2011,E,Action,LucasArts,Traveller's Tales,0.66,0.39,0,0.11,1.16,66,8,\N,\N
1750,LEGO Star Wars III: The Clone Wars,DS,DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.66,0.39,0,0.11,1.16,67,25,6.1,31
1750,LEGO Star Wars III: The Clone Wars,DS,DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.66,0.39,0,0.11,1.16,76,36,7.3,34
1750,LEGO Star Wars III: The Clone Wars,DS,DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.66,0.39,0,0.11,1.16,75,43,7.8,42
1750,LEGO Star Wars III: The Clone Wars,DS,DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.66,0.39,0,0.11,1.16,76,7,7.7,10
1751,NASCAR Thunder 2002,PS2,PS2,2001,E,Racing,Electronic Arts,EA Sports,0.57,0.44,0,0.15,1.16,85,17,8.5,22
1752,Jet Force Gemini,N64,N64,1999,,Shooter,Nintendo,,0.78,0.28,0.07,0.02,1.16,\N,\N,\N,\N
1753,Mega Man X,SNES,SNES,1993,,Platform,Capcom,,0.57,0.08,0.5,0.01,1.16,\N,\N,\N,\N
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,GBA,2002,,Role-Playing,Konami Digital Entertainment,,0.84,0.27,0,0.05,1.16,\N,\N,\N,\N
1755,Sega Rally Championship,SAT,SAT,1995,,Racing,Sega,,0.21,0.16,0.77,0.02,1.16,\N,\N,\N,\N
1756,Test Drive: Off Road,PS,PS,1997,,Racing,Eidos Interactive,,0.65,0.44,0,0.08,1.16,\N,\N,\N,\N
1757,Medal of Honor Heroes 2,PSP,PSP,2007,T,Shooter,Electronic Arts,EA LA,0.5,0.39,0.02,0.25,1.16,69,20,7.3,30
1758,Sniper: Ghost Warrior,X360,X360,2010,M,Shooter,City Interactive,City Interactive,0.54,0.51,0,0.12,1.16,53,17,6,34
1758,Sniper: Ghost Warrior,X360,X360,2010,M,Shooter,City Interactive,City Interactive,0.54,0.51,0,0.12,1.16,45,39,5.8,89
1759,Rocksmith,PS3,PS3,2011,T,Misc,Ubisoft,Ubisoft,0.52,0.38,0.09,0.17,1.16,77,30,8.2,62
1759,Rocksmith,PS3,PS3,2011,T,Misc,Ubisoft,Ubisoft,0.52,0.38,0.09,0.17,1.16,80,27,8.3,52
1760,LEGO Star Wars: The Video Game,XB,XB,2005,,Action,Eidos Interactive,,0.83,0.28,0,0.05,1.16,\N,\N,\N,\N
1760,LEGO Star Wars: The Video Game,XB,XB,2005,,Action,Eidos Interactive,,0.83,0.28,0,0.05,1.16,\N,\N,\N,\N
1760,LEGO Star Wars: The Video Game,XB,XB,2005,,Action,Eidos Interactive,,0.83,0.28,0,0.05,1.16,\N,\N,\N,\N
1760,LEGO Star Wars: The Video Game,XB,XB,2005,,Action,Eidos Interactive,,0.83,0.28,0,0.05,1.16,\N,\N,\N,\N
1761,FIFA Soccer 10,PSP,PSP,2009,E,Sports,Electronic Arts,EA Sports,0.15,0.68,0.01,0.32,1.16,75,21,6.2,17
1761,FIFA Soccer 10,PSP,PSP,2009,E,Sports,Electronic Arts,EA Sports,0.15,0.68,0.01,0.32,1.16,83,9,7.9,14
1761,FIFA Soccer 10,PSP,PSP,2009,E,Sports,Electronic Arts,EA Sports,0.15,0.68,0.01,0.32,1.16,\N,\N,8.4,9
1761,FIFA Soccer 10,PSP,PSP,2009,E,Sports,Electronic Arts,EA Sports,0.15,0.68,0.01,0.32,1.16,90,63,7.5,133
1761,FIFA Soccer 10,PSP,PSP,2009,E,Sports,Electronic Arts,EA Sports,0.15,0.68,0.01,0.32,1.16,91,56,7.6,203
1762,Plants vs. Zombies: Garden Warfare,X360,X360,2014,E10+,Shooter,Electronic Arts,PopCap,0.51,0.54,0,0.1,1.16,75,23,7.6,259
1762,Plants vs. Zombies: Garden Warfare,X360,X360,2014,E10+,Shooter,Electronic Arts,PopCap,0.51,0.54,0,0.1,1.16,\N,\N,7.8,24
1762,Plants vs. Zombies: Garden Warfare,X360,X360,2014,E10+,Shooter,Electronic Arts,PopCap,0.51,0.54,0,0.1,1.16,76,65,7.4,438
1762,Plants vs. Zombies: Garden Warfare,X360,X360,2014,E10+,Shooter,Electronic Arts,PopCap,0.51,0.54,0,0.1,1.16,69,6,7.3,121
1763,Worldwide Soccer Manager 2009,PC,PC,2008,E,Simulation,Sega,Sports Interactive,0,1.14,0,0.01,1.15,83,29,8.1,30
1764,Omerta: City of Gangsters,PS3,PS3,2011,T,Simulation,Konami Digital Entertainment,Kalypso,0.52,0.46,0,0.17,1.15,43,18,3.3,25
1764,Omerta: City of Gangsters,PS3,PS3,2011,,Simulation,Konami Digital Entertainment,,0.52,0.46,0,0.17,1.15,\N,\N,\N,\N
1765,Gauntlet: Dark Legacy,PS2,PS2,2001,T,Action,Midway Games,Midway,0.56,0.44,0,0.15,1.15,73,15,8.3,30
1766,Ninja Gaiden Sigma,PS3,PS3,2007,M,Action,Eidos Interactive,Team Ninja,0.57,0.33,0.09,0.16,1.15,88,46,7.5,155
1767,Bad Boys: Miami Takedown,PS2,PS2,2004,M,Shooter,Empire Interactive,Blitz Games,0.56,0.44,0,0.15,1.15,43,5,3.4,13
1768,Kaboom!,2600,Atari2600,1980,,Misc,Activision,,1.07,0.07,0,0.01,1.15,\N,\N,\N,\N
1769,Red Dead Redemption: Undead Nightmare,PS3,PS3,2010,M,Action,Take-Two Interactive,Rockstar San Diego,0.44,0.46,0.06,0.18,1.15,\N,\N,7.6,18
1769,Red Dead Redemption: Undead Nightmare,PS3,PS3,2010,M,Action,Take-Two Interactive,Rockstar San Diego,0.44,0.46,0.06,0.18,1.15,\N,\N,7.4,17
1770,Sonic and the Black Knight,Wii,Wii,2009,E10+,Platform,Sega,Sonic Team,0.69,0.35,0.01,0.11,1.15,54,51,6.9,198
1771,Call of Duty 4: Modern Warfare,PC,PC,2007,T,Shooter,Activision,n-Space,0,1.12,0,0.03,1.15,75,22,6.9,36
1771,Call of Duty 4: Modern Warfare,PC,PC,2007,M,Shooter,Activision,Infinity Ward,0,1.12,0,0.03,1.15,92,40,8.5,2360
1771,Call of Duty 4: Modern Warfare,PC,PC,2007,M,Shooter,Activision,Infinity Ward,0,1.12,0,0.03,1.15,94,44,8.4,993
1771,Call of Duty 4: Modern Warfare,PC,PC,2007,M,Shooter,Activision,Infinity Ward,0,1.12,0,0.03,1.15,94,70,8.4,1320
1772,Qix,GB,GB,1990,,Puzzle,Nintendo,,0.51,0.2,0.41,0.03,1.15,\N,\N,\N,\N
1773,Derby Stallion III,SNES,SNES,1995,,Sports,ASCII Entertainment,,0,0,1.15,0,1.15,\N,\N,\N,\N
1774,Doraemon,NES,NES,1986,,Action,Hudson Soft,,0,0,1.15,0,1.15,\N,\N,\N,\N
1775,High School Musical 2: Work This Out!,DS,DS,2008,,Misc,Disney Interactive Studios,,0.5,0.52,0,0.13,1.15,\N,\N,\N,\N
1776,Ratchet & Clank: All 4 One,PS3,PS3,2011,,Platform,Sony Computer Entertainment,,0.75,0.22,0.05,0.12,1.15,\N,\N,\N,\N
1777,Donkey Konga,GC,GC,2003,E,Misc,Nintendo,Namco,0.5,0.16,0.46,0.03,1.15,76,55,8.3,21
1778,Fight Night Champion,PS3,PS3,2011,M,Fighting,Electronic Arts,EA Canada,0.45,0.51,0,0.19,1.15,86,59,7.4,105
1778,Fight Night Champion,PS3,PS3,2011,M,Fighting,Electronic Arts,EA Canada,0.45,0.51,0,0.19,1.15,84,52,7.3,95
1779,Dragon Quest I & II,SNES,SNES,1993,,Role-Playing,Enix Corporation,,0,0,1.15,0,1.15,\N,\N,\N,\N
1780,Tak and the Power of Juju,PS2,PS2,2003,E,Platform,THQ,Avalanche Software,0.56,0.44,0,0.15,1.15,68,28,9,28
1781,Asteroids,PS,PS,1998,,Shooter,Success,,0.64,0.43,0,0.07,1.15,\N,\N,\N,\N
1781,Asteroids,PS,PS,1998,,Shooter,Success,,0.64,0.43,0,0.07,1.15,\N,\N,\N,\N
1782,Puyo Puyo Sun Ketteiban,PS,PS,1997,,Puzzle,Compile,,0,0,1.07,0.07,1.15,\N,\N,\N,\N
1783,Pokemon Rumble Blast,3DS,3DS,2011,E10+,Action,Nintendo,Ambrella,0.47,0.26,0.35,0.07,1.14,56,36,7.1,50
1784,Action Bass,PS,PS,2000,E,Action,Take-Two Interactive,Vingt-et-un Systems,0.64,0.43,0,0.07,1.14,51,8,\N,\N
1785,Tenchu: Wrath of Heaven,PS2,PS2,2003,M,Action,Activision,K2 LLC,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38
1786,Shadow of the Colossus,PS2,PS2,2005,T,Action,Sony Computer Entertainment,SCE Japan Studio,0.78,0.03,0.2,0.13,1.14,91,77,9.1,933
1787,Brave Fencer Musashi,PS,PS,1998,E,Role-Playing,SquareSoft,SquareSoft,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17
1788,Hot Shots Golf: Out of Bounds,PS3,PS3,2007,E,Sports,Sony Computer Entertainment,Clap Hanz,0.31,0.03,0.76,0.04,1.14,81,66,8.8,32
1789,Dance Dance Revolution Extreme 2,PS2,PS2,2005,E10+,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.95,0.04,0,0.16,1.14,76,27,9,21
1790,Mirror's Edge,PS3,PS3,2008,T,Platform,Electronic Arts,EA DICE,0.31,0.59,0.02,0.22,1.14,79,66,7.8,362
1790,Mirror's Edge,PS3,PS3,2008,T,Platform,Electronic Arts,EA DICE,0.31,0.59,0.02,0.22,1.14,79,82,7.6,328
1791,Rabbids Go Home,Wii,Wii,2009,E,Platform,Ubisoft,Ubisoft Montpellier,0.26,0.75,0,0.14,1.14,70,7,\N,\N
1791,Rabbids Go Home,Wii,Wii,2009,E10+,Platform,Ubisoft,Ubisoft Montpellier,0.26,0.75,0,0.14,1.14,78,50,8.3,32
1792,South Park,N64,N64,1998,,Shooter,Acclaim Entertainment,,0.9,0.23,0,0.02,1.14,\N,\N,\N,\N
1792,South Park,N64,N64,1998,,Shooter,Acclaim Entertainment,,0.9,0.23,0,0.02,1.14,\N,\N,\N,\N
1793,Commando,NES,NES,1986,,Action,Capcom,,0.71,0.16,0.25,0.03,1.14,\N,\N,\N,\N
1794,Pilotwings,SNES,SNES,1990,,Simulation,Nintendo,,0.46,0.17,0.48,0.02,1.14,\N,\N,\N,\N
1795,Resident Evil - Code: Veronica,DC,DC,2000,,Action,Eidos Interactive,,0.41,0.23,0.47,0.03,1.14,\N,\N,\N,\N
1796,Super R.C. Pro-Am,GB,GB,1991,,Racing,Nintendo,,0.58,0.37,0.15,0.04,1.14,\N,\N,\N,\N
1797,The Lord of the Rings: The Return of the King,XB,XB,2003,T,Action,Electronic Arts,Hypnos Entertainment,0.71,0.38,0,0.05,1.14,84,23,8.5,21
1797,The Lord of the Rings: The Return of the King,XB,XB,2003,T,Action,Electronic Arts,EA Games,0.71,0.38,0,0.05,1.14,84,31,9.1,31
1797,The Lord of the Rings: The Return of the King,XB,XB,2003,T,Action,Electronic Arts,EA Games,0.71,0.38,0,0.05,1.14,85,31,8.7,105
1798,LEGO Star Wars: The Video Game,GBA,GBA,2005,,Action,Eidos Interactive,,0.82,0.3,0,0.02,1.14,\N,\N,\N,\N
1798,LEGO Star Wars: The Video Game,GBA,GBA,2005,,Action,Eidos Interactive,,0.82,0.3,0,0.02,1.14,\N,\N,\N,\N
1798,LEGO Star Wars: The Video Game,GBA,GBA,2005,,Action,Eidos Interactive,,0.82,0.3,0,0.02,1.14,\N,\N,\N,\N
1798,LEGO Star Wars: The Video Game,GBA,GBA,2005,,Action,Eidos Interactive,,0.82,0.3,0,0.02,1.14,\N,\N,\N,\N
1799,Royal Palace of White Sword and The City of Gentiles,PS2,PS2,2005,,Role-Playing,Take-Two Interactive,,0,0.51,0,0.62,1.14,\N,\N,\N,\N
1800,Guitar Hero 5,X360,X360,2009,T,Misc,Activision,Neversoft Entertainment,0.65,0.37,0,0.11,1.14,86,54,5.7,87
1800,Guitar Hero 5,X360,X360,2009,T,Misc,Activision,BudCat,0.65,0.37,0,0.11,1.14,71,4,2.6,10
1800,Guitar Hero 5,X360,X360,2009,T,Misc,Activision,Neversoft Entertainment,0.65,0.37,0,0.11,1.14,85,69,6.8,108
1800,Guitar Hero 5,X360,X360,2009,T,Misc,Activision,Vicarious Visions,0.65,0.37,0,0.11,1.14,89,25,6.9,49
1801,Mobile Suit Gundam: Federation vs. Zeon,PS2,PS2,2001,T,Simulation,Atari,Capcom,0.12,0.1,0.88,0.03,1.14,73,15,8.8,32
1802,Need for Speed Underground 2,GC,GC,2004,,Racing,Electronic Arts,,0.7,0.39,0.01,0.03,1.14,\N,\N,\N,\N
1802,Need for Speed Underground 2,GC,GC,2004,E,Racing,Electronic Arts,EA Canada,0.7,0.39,0.01,0.03,1.14,77,35,8.7,27
1802,Need for Speed Underground 2,GC,GC,2004,E,Racing,Electronic Arts,EA Canada,0.7,0.39,0.01,0.03,1.14,82,39,8.6,132
1803,MechAssault,XB,XB,2002,T,Simulation,Microsoft Game Studios,Day 1 Studios,1.01,0.1,0,0.03,1.13,87,32,8,47
1804,ModNation Racers,PS3,PS3,2010,E,Racing,Sony Computer Entertainment,United Front Games,0.5,0.41,0.06,0.16,1.13,82,85,8.4,201
1805,LEGO Star Wars III: The Clone Wars,3DS,3DS,2011,E,Action,LucasArts,Traveller's Tales,0.61,0.43,0,0.09,1.13,66,8,\N,\N
1805,LEGO Star Wars III: The Clone Wars,3DS,3DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.61,0.43,0,0.09,1.13,67,25,6.1,31
1805,LEGO Star Wars III: The Clone Wars,3DS,3DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.61,0.43,0,0.09,1.13,76,36,7.3,34
1805,LEGO Star Wars III: The Clone Wars,3DS,3DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.61,0.43,0,0.09,1.13,75,43,7.8,42
1805,LEGO Star Wars III: The Clone Wars,3DS,3DS,2011,E10+,Action,LucasArts,Traveller's Tales,0.61,0.43,0,0.09,1.13,76,7,7.7,10
1806,Derby Stallion 99,PS,PS,1999,,Sports,ASCII Entertainment,,0,0,1.06,0.07,1.13,\N,\N,\N,\N
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Rainbow Studios,0.81,0.3,0,0.02,1.13,65,13,\N,\N
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Rainbow Studios,0.81,0.3,0,0.02,1.13,71,21,7,5
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Helixe,0.81,0.3,0,0.02,1.13,54,17,2.1,11
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Helixe,0.81,0.3,0,0.02,1.13,50,8,4.7,6
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Locomotive Games,0.81,0.3,0,0.02,1.13,70,17,7,4
1807,Cars,GBA,GBA,2006,E,Racing,THQ,Rainbow Studios,0.81,0.3,0,0.02,1.13,71,30,8.4,12
1808,Fantasy Life,3DS,3DS,2012,E10+,Role-Playing,Nintendo,Level 5,,,,,,,,,
1809,Tom Clancy's Rainbow Six 3: Black Arrow,XB,XB,2004,M,Shooter,Ubisoft,Ubisoft Montreal,0.99,0.12,0,0.02,1.13,84,55,8.6,14
1810,WWE 2K15,PS4,PS4,2014,T,Sports,Take-Two Interactive,Yuke's,0.38,0.56,0,0.19,1.13,50,5,4,65
1810,WWE 2K15,PS4,PS4,2014,T,Sports,Take-Two Interactive,Yuke's,0.38,0.56,0,0.19,1.13,55,5,3.1,57
1810,WWE 2K15,PS4,PS4,2014,T,Sports,Take-Two Interactive,Yuke's,0.38,0.56,0,0.19,1.13,62,44,5.1,164
1811,Donkey Kong,NES,NES,1983,,Platform,Nintendo,,0.23,0.05,0.84,0.01,1.13,\N,\N,\N,\N
1811,Donkey Kong,NES,NES,1983,,Platform,Nintendo,,0.23,0.05,0.84,0.01,1.13,\N,\N,\N,\N
1811,Donkey Kong,NES,NES,1983,,Platform,Nintendo,,0.23,0.05,0.84,0.01,1.13,\N,\N,\N,\N
1812,Jampack Winter '98,PS,PS,1998,,Misc,Sony Computer Entertainment,,0.63,0.43,0,0.07,1.13,\N,\N,\N,\N
1813,WWE 2K14,X360,X360,2013,T,Sports,Take-Two Interactive,Yuke's,0.64,0.39,0,0.1,1.13,75,43,7.7,100
1813,WWE 2K14,X360,X360,2013,T,Sports,Take-Two Interactive,Yuke's,0.64,0.39,0,0.1,1.13,74,22,7.5,121
1814,Alien: Isolation,PS4,PS4,2014,M,Shooter,Sega,Creative Assembly,0.34,0.56,0.04,0.19,1.13,79,50,8.1,795
1815,Yakuza 3,PS3,PS3,2009,M,Action,Sega,Ryu ga Gotoku Studios,0.21,0.21,0.62,0.08,1.13,79,77,8.1,165
1816,Pok̩mon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,GBA,2005,,Role-Playing,Nintendo,,0.81,0.3,0,0.02,1.13,\N,\N,\N,\N
1817,The Beatles: Rock Band,PS3,PS3,2009,T,Misc,MTV Games,Harmonix Music Systems,0.67,0.3,0,0.15,1.13,88,60,8.7,59
1817,The Beatles: Rock Band,PS3,PS3,2009,T,Misc,MTV Games,Harmonix Music Systems,0.67,0.3,0,0.15,1.13,89,76,8.6,127
1817,The Beatles: Rock Band,PS3,PS3,2009,T,Misc,MTV Games,Harmonix Music Systems,0.67,0.3,0,0.15,1.13,89,25,8.9,43
1818,Dragon Age II,X360,X360,2011,M,Action,Electronic Arts,BioWare,0.72,0.3,0.01,0.09,1.12,82,45,4.5,4533
1818,Dragon Age II,X360,X360,2011,M,Action,Electronic Arts,BioWare,0.72,0.3,0.01,0.09,1.12,82,52,4.3,1197
1818,Dragon Age II,X360,X360,2011,M,Action,Electronic Arts,BioWare,0.72,0.3,0.01,0.09,1.12,79,75,4.5,2380
1819,Moon Patrol,2600,Atari2600,1982,,Shooter,Atari,,1.05,0.06,0,0.01,1.12,\N,\N,\N,\N
1820,Supercar Street Challenge,PS2,PS2,2001,E,Racing,Activision,Exakt,0.55,0.43,0,0.14,1.12,57,15,7.6,9
1821,Pilotwings 64,N64,N64,1996,,Simulation,Nintendo,,0.56,0.24,0.3,0.02,1.12,\N,\N,\N,\N
1822,Crackdown 2,X360,X360,2010,M,Shooter,Microsoft Game Studios,Ruffian Games,0.63,0.37,0.02,0.1,1.12,70,91,6,202
1823,Final Fantasy XIV: A Realm Reborn,PS3,PS3,2013,,Role-Playing,Square Enix,,0.36,0.33,0.28,0.15,1.12,\N,\N,\N,\N
1823,Final Fantasy XIV: A Realm Reborn,PS3,PS3,2013,,Role-Playing,Square Enix,,0.36,0.33,0.28,0.15,1.12,\N,\N,\N,\N
1823,Final Fantasy XIV: A Realm Reborn,PS3,PS3,2013,,Role-Playing,Square Enix,,0.36,0.33,0.28,0.15,1.12,\N,\N,\N,\N
1824,Castlevania: Lords of Shadow,PS3,PS3,2010,M,Action,Konami Digital Entertainment,Mercury Steam,0.5,0.37,0.1,0.16,1.12,83,70,7.8,237
1824,Castlevania: Lords of Shadow,PS3,PS3,2010,M,Action,Konami Digital Entertainment,Mercury Steam,0.5,0.37,0.1,0.16,1.12,85,62,8,468
1825,Rocksmith,X360,X360,2011,T,Misc,Ubisoft,Ubisoft,0.84,0.2,0.01,0.08,1.12,77,30,8.2,62
1825,Rocksmith,X360,X360,2011,T,Misc,Ubisoft,Ubisoft,0.84,0.2,0.01,0.08,1.12,80,27,8.3,52
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,X360,2014,,Action,Disney Interactive Studios,,0.62,0.4,0,0.1,1.12,\N,\N,\N,\N
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,X360,2014,,Action,Disney Interactive Studios,,0.62,0.4,0,0.1,1.12,\N,\N,\N,\N
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,X360,2014,,Action,Disney Interactive Studios,,0.62,0.4,0,0.1,1.12,\N,\N,\N,\N
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,X360,2014,,Action,Disney Interactive Studios,,0.62,0.4,0,0.1,1.12,\N,\N,\N,\N
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,PSP,2005,M,Shooter,Sony Computer Entertainment,Zipper Interactive,1.03,0,0.01,0.08,1.12,82,44,8.6,63
1828,Call Of Duty 2: Big Red One,XB,XB,2005,T,Shooter,Activision,Treyarch,0.66,0.4,0,0.05,1.12,78,46,5.1,27
1828,Call Of Duty 2: Big Red One,XB,XB,2005,T,Shooter,Activision,Treyarch,0.66,0.4,0,0.05,1.12,77,39,8.2,69
1829,Yoshi's Cookie,NES,NES,1992,,Puzzle,Nintendo,,0.41,0.06,0.63,0.02,1.12,\N,\N,\N,\N
1829,Yoshi's Cookie,NES,NES,1992,,Puzzle,Nintendo,,0.41,0.06,0.63,0.02,1.12,\N,\N,\N,\N
1830,Guitar Hero 5,PS2,PS2,2009,T,Misc,Activision,Neversoft Entertainment,0.28,0.3,0,0.54,1.12,86,54,5.7,87
1830,Guitar Hero 5,PS2,PS2,2009,T,Misc,Activision,BudCat,0.28,0.3,0,0.54,1.12,71,4,2.6,10
1830,Guitar Hero 5,PS2,PS2,2009,T,Misc,Activision,Neversoft Entertainment,0.28,0.3,0,0.54,1.12,85,69,6.8,108
1830,Guitar Hero 5,PS2,PS2,2009,T,Misc,Activision,Vicarious Visions,0.28,0.3,0,0.54,1.12,89,25,6.9,49
1831,Worldwide Soccer Manager 2008,PC,PC,2007,E,Sports,Russel,Sports Interactive,0,1.12,0,0,1.12,86,15,8,19
1832,Spider-Man 2,XB,XB,2004,T,Action,Activision,Vicarious Visions,0.82,0.26,0,0.04,1.12,67,43,6.9,8
1832,Spider-Man 2,XB,XB,2004,T,Action,Activision,Treyarch,0.82,0.26,0,0.04,1.12,80,41,8.8,30
1832,Spider-Man 2,XB,XB,2004,E,Action,Activision,Digital Eclipse,0.82,0.26,0,0.04,1.12,65,12,7.7,6
1832,Spider-Man 2,XB,XB,2004,T,Action,Activision,Treyarch,0.82,0.26,0,0.04,1.12,83,60,8.3,40
1832,Spider-Man 2,XB,XB,2004,T,Action,Activision,Treyarch,0.82,0.26,0,0.04,1.12,80,50,8.9,106
1833,Counter-Strike,XB,XB,2003,M,Shooter,Microsoft Game Studios,Valve Software,0.85,0.23,0,0.04,1.11,74,38,7.6,51
1834,Mad Max (2015),PS4,PS4,2015,,Action,Warner Bros. Interactive Entertainment,,0.32,0.58,0.04,0.17,1.11,\N,\N,\N,\N
1835,Transformers: The Game (XBox 360,,,,,,,,,,,,,,,,
1835,Transformers: The Game (XBox 360,,,,,,,,,,,,,,,,
1836,GRID,PS3,PS3,2008,E,Racing,Codemasters,Codemasters,0.31,0.57,0.03,0.2,1.11,87,62,7.9,131
1836,GRID,PS3,PS3,2008,E,Racing,Codemasters,Codemasters,0.31,0.57,0.03,0.2,1.11,87,39,8.1,109
1837,Guitar Hero Encore: Rocks The 80s,PS2,PS2,2007,T,Misc,RedOctane,Harmonix Music Systems,0.92,0.04,0,0.15,1.11,69,50,6.3,31
1838,Sunset Overdrive,XOne,XOne,2014,M,Shooter,Microsoft Game Studios,Insomniac Games,0.62,0.4,0,0.08,1.11,81,89,7.7,1137
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,XB,2005,M,Action,Ubisoft,Ubisoft Montreal,0.68,0.38,0,0.05,1.11,87,29,8.6,53
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,XB,2005,M,Action,Ubisoft,Ubisoft Montreal,0.68,0.38,0,0.05,1.11,94,70,9,160
1841,Donkey Kong Jr.,NES,NES,1983,,Platform,Nintendo,,0.33,0.07,0.7,0.01,1.11,\N,\N,\N,\N
1842,Arc the Lad,PS,PS,1995,,Role-Playing,Sony Computer Entertainment,,0,0,1.1,0.01,1.11,\N,\N,\N,\N
1843,NBA Jam Tournament Edition,GEN,GEN,1994,,Sports,Acclaim Entertainment,,0.95,0.14,0,0.03,1.11,\N,\N,\N,\N
1843,NBA Jam Tournament Edition,GEN,GEN,1994,,Sports,Acclaim Entertainment,,0.95,0.14,0,0.03,1.11,\N,\N,\N,\N
1844,Need for Speed: ProStreet,Wii,Wii,2007,E,Racing,Electronic Arts,EA Games,0.54,0.46,0,0.12,1.11,57,14,7.1,19
1844,Need for Speed: ProStreet,Wii,Wii,2007,E10+,Racing,Electronic Arts,EA Games,0.54,0.46,0,0.12,1.11,61,16,6.9,14
1844,Need for Speed: ProStreet,Wii,Wii,2007,E10+,Racing,Electronic Arts,EA Black Box,0.54,0.46,0,0.12,1.11,73,26,6,43
1844,Need for Speed: ProStreet,Wii,Wii,2007,E10+,Racing,Electronic Arts,EA Black Box,0.54,0.46,0,0.12,1.11,72,42,7.1,78
1844,Need for Speed: ProStreet,Wii,Wii,2007,E10+,Racing,Electronic Arts,Black Box,0.54,0.46,0,0.12,1.11,62,11,6.2,34
1845,Pikmin 3,WiiU,WiiU,2013,E10+,Strategy,Nintendo,Nintendo,0.45,0.31,0.29,0.06,1.11,87,79,8.7,664
1846,Legend of Mana,PS,PS,1999,,Role-Playing,SquareSoft,,0.18,0.13,0.73,0.07,1.11,\N,\N,\N,\N
1847,Lumines: Puzzle Fusion,PSP,PSP,2004,,Puzzle,Ubisoft,,0.52,0.35,0,0.23,1.11,\N,\N,\N,\N
1848,Toy Story 3: The Video Game,PS3,PS3,2010,,Action,Disney Interactive Studios,,0.51,0.42,0,0.17,1.11,\N,\N,\N,\N
1848,Toy Story 3: The Video Game,PS3,PS3,2010,,Action,Disney Interactive Studios,,0.51,0.42,0,0.17,1.11,\N,\N,\N,\N
1848,Toy Story 3: The Video Game,PS3,PS3,2010,,Action,Disney Interactive Studios,,0.51,0.42,0,0.17,1.11,\N,\N,\N,\N
1848,Toy Story 3: The Video Game,PS3,PS3,2010,,Action,Disney Interactive Studios,,0.51,0.42,0,0.17,1.11,\N,\N,\N,\N
1848,Toy Story 3: The Video Game,PS3,PS3,2010,,Action,Disney Interactive Studios,,0.51,0.42,0,0.17,1.11,\N,\N,\N,\N
