Number of Blanks,Rank,Name,Platform,Console,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,70,Gran Turismo 2,PS,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
0,71,Call of Duty 4: Modern Warfare,X360,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
0,72,Donkey Kong Country,SNES,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
0,73,Minecraft,X360,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
0,74,Animal Crossing: New Leaf,3DS,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
0,75,Mario Party DS,DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
0,76,The Elder Scrolls V: Skyrim,X360,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
0,77,Super Mario Kart,SNES,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
0,78,FIFA 16,PS4,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
0,79,Wii Party,Wii,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
0,80,Halo 2,XB,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
0,81,Mario Party 8,Wii,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
0,82,Pokemon Black 2/Pokemon White 2,DS,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
0,83,FIFA Soccer 13,PS3,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
0,84,The Sims 3,PC,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
0,85,GoldenEye 007,N64,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
0,86,Mario & Sonic at the Olympic Games,Wii,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
0,87,Final Fantasy X,PS2,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
0,88,Final Fantasy VIII,PS,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
0,89,Pokémon Platinum Version,DS,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
0,90,Pac-Man,2600,Atari2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
0,91,Grand Theft Auto: Liberty City Stories,PSP,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
0,92,Super Mario Galaxy 2,Wii,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
0,93,Star Wars Battlefront (2015),PS4,PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
0,94,Call of Duty: Advanced Warfare,PS4,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
0,95,The Legend of Zelda: Ocarina of Time,N64,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
0,96,Crash Bandicoot 2: Cortex Strikes Back,PS,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
0,97,Super Mario Bros. 2,NES,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
0,98,Super Smash Bros. for Wii U and 3DS,3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
0,99,Call of Duty: World at War,X360,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
0,100,Battlefield 3,X360,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
0,101,The Legend of Zelda: Twilight Princess,Wii,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
0,102,Call of Duty: Black Ops 3,XOne,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
0,103,Just Dance,Wii,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
0,104,Battlefield 3,PS3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
0,105,Need for Speed Underground,PS2,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
0,106,Tekken 3,PS,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
0,107,Crash Bandicoot 3: Warped,PS,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
0,108,Super Smash Bros. Melee,GC,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
0,109,Mario Kart 8,WiiU,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
0,110,Fallout 4,PS4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
0,111,Mario Kart: Double Dash!!,GC,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
0,112,Just Dance 4,Wii,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
0,113,FIFA 14,PS3,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
0,114,Need for Speed Underground 2,PS2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
0,115,Medal of Honor: Frontline,PS2,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
0,116,Uncharted 3: Drake's Deception,PS3,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
0,117,Crash Bandicoot,PS,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
0,118,Zumba Fitness,Wii,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
0,119,Gears of War 2,X360,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
0,120,Uncharted 2: Among Thieves,PS3,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
0,121,Call of Duty 4: Modern Warfare,PS3,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
0,122,FIFA 12,PS3,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
0,123,Big Brain Academy,DS,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
0,124,Red Dead Redemption,PS3,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
0,125,FIFA 15,PS4,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
0,126,Donkey Kong Country Returns,Wii,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
0,127,The Elder Scrolls V: Skyrim,PS3,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
0,128,The Legend of Zelda,NES,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
0,129,Assassin's Creed III,PS3,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
0,130,Halo: Combat Evolved,XB,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
0,131,Pokémon Emerald Version,GBA,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
0,132,Kingdom Hearts,PS2,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
0,133,Pokémon Crystal Version,GB,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
0,134,Halo 3: ODST,X360,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
0,135,Red Dead Redemption,X360,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
0,136,Super Mario Sunshine,GC,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
0,137,Street Fighter II: The World Warrior,SNES,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
0,138,World of Warcraft,PC,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
0,139,Driver,PS,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
0,140,Kinect Sports,X360,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
0,141,Gears of War 3,X360,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
0,142,Gears of War,X360,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
0,143,Metal Gear Solid 2: Sons of Liberty,PS2,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
0,144,Sonic the Hedgehog 2,GEN,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
0,145,Metal Gear Solid 4: Guns of the Patriots,PS3,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
0,146,Metal Gear Solid,PS,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
0,147,The Last of Us,PS3,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
0,148,Final Fantasy XII,PS2,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
0,149,LittleBigPlanet,PS3,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
0,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
0,151,LEGO Star Wars: The Complete Saga,Wii,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
0,152,Resident Evil 2,PS,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
0,153,Tekken 2,PS,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
0,154,Cooking Mama,DS,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
0,155,Destiny,PS4,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
0,156,Tetris,NES,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
0,157,Assassin's Creed II,PS3,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
0,158,Super Smash Bros.,N64,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
