Number of blanks,Name,Platform,Console,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Nightmare Creatures II,PS,PS,2000,Action,Konami Digital Entertainment,,,,,,
0,MotoGP 09/10,X360,X360,2010,Racing,Capcom,69,41,5.7,41,Monumental Games,E
0,Bratz Kidz,Wii,Wii,2008,Misc,Game Factory,,,,,EKO Software,E
0,N3 II: Ninety-Nine Nights,X360,X360,2010,Action,Microsoft Game Studios,,,,,,
0,Catwoman,PS2,PS2,2004,Action,Electronic Arts,46,35,6.9,13,Argonaut Games,T
0,Garfield: Lasagna World Tour,PS2,PS2,2007,Action,Blast! Entertainment Ltd,,,,,EKO Software,E
0,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,GBA,2004,Misc,N/A,,,,,,
0,Bomberman B-Daman,SNES,SNES,1996,Shooter,Hudson Soft,,,,,,
0,Monsters vs. Aliens,X360,X360,2009,Action,Activision,63,31,6.6,7,Beenox,E10+
0,Beat Down: Fists of Vengeance,PS2,PS2,2005,Action,Capcom,48,33,8.1,12,Cavia Inc.,M
0,World Destruction League: Thunder Tanks,PS,PS,2000,Action,3DO,35,4,1.2,6,3DO,T
0,Terminator 3: The Redemption,PS2,PS2,2004,Shooter,Atari,68,29,8.0,11,Paradigm Entertainment,T
0,Reloaded,PS,PS,1996,Action,Gremlin Interactive Ltd,,,,,,
0,Sword of the Samurai,PS2,PS2,,Fighting,Ubisoft,,,,,,
0,Anarchy Reigns,X360,X360,2012,Action,Sega,73,38,7.9,105,PlatinumGames,M
0,SSX On Tour,GC,GC,2005,Sports,Electronic Arts,80,27,7.5,14,EA Canada,E
0,Bladestorm: Nightmare,PS4,PS4,2015,Action,Tecmo Koei,58,33,6.5,21,Omega Force,T
0,Fairytale Fights,X360,X360,2009,Action,Playlogic Game Factory,51,47,6.2,12,"Playlogic, The Game Factory",M
0,LEGO Marvel Super Heroes,PC,PC,2013,Action,Warner Bros. Interactive Entertainment,78,7,8.1,124,TT Games,E10+
0,Hot Wheels: Beat That!,X360,X360,2007,Racing,Activision,,,,,,
0,Ashes Cricket 2009,PS3,PS3,2009,Sports,Codemasters,,,,,,
0,James Bond 007: Everything or Nothing,GBA,GBA,2003,Shooter,Electronic Arts,73,17,8.3,11,Griptonite Games,T
0,Naruto Shippuden: Ultimate Ninja 5,PS2,PS2,2007,Fighting,Namco Bandai Games,,,,,,
0,Shrek Extra Large,GC,GC,2002,Platform,TDK Mediactive,36,6,5.6,23,Digital Illusions,T
0,Final Fantasy V,PS,PS,1998,Role-Playing,SquareSoft,,,,,,
0,World Tour Soccer 2006,PS2,PS2,2004,Sports,Sony Computer Entertainment,56,20,6.0,7,SCEE London Studio,E
0,Gunvalkyrie,XB,XB,2002,Shooter,Infogrames,73,28,7.3,10,Smilebit,T
0,Camp Rock: The Final Jam,DS,DS,2010,Misc,Disney Interactive Studios,,,,,,
0,NickToons: Racing,PS,PS,2001,Racing,Hasbro Interactive,,,,,,
0,Jillian Michaels Fitness Ultimatum 2011,Wii,Wii,2010,Sports,D3Publisher,,,,,D3Publisher,E
0,VR Golf '97,PS,PS,1996,Sports,Gremlin Interactive Ltd,,,,,,
0,State of Emergency,XB,XB,2003,Action,Take-Two Interactive,67,21,6.3,11,VIS Entertainment,M
0,Off-World Interceptor Extreme,PS,PS,1995,Racing,Crystal Dynamics,,,,,,
0,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,3DS,2014,Action,Nippon Columbia,,,,,,
0,Disney Golf,PS2,PS2,2002,Sports,Electronic Arts,72,10,8.3,7,T&E Soft,E
0,The Naked Brothers Band: The Video Game,PS2,PS2,2008,Misc,THQ,,,,,,
0,Fuzion Frenzy 2,X360,X360,2007,Misc,Microsoft Game Studios,49,47,5.2,31,Hudson Soft,E10+
0,Demon Gaze,PSV,PSV,2013,Role-Playing,Nippon Ichi Software,70,38,7.4,129,Experience Inc.,T
0,Clock Tower II: The Struggle Within,PS,PS,1998,Adventure,Human Entertainment,49,5,5.7,7,Human Entertainment,M
0,Batman Beyond: Return of the Joker,PS,PS,2000,Action,Ubisoft,,,4.3,7,Kemco,
0,My French Coach,DS,DS,2007,Misc,Ubisoft,,,,,Ubisoft,E
0,Backyard NFL Football '10,Wii,Wii,2009,Sports,Atari,,,,,,
0,CSI: Fatal Conspiracy,X360,X360,2010,Adventure,Ubisoft,42,9,4.8,4,Telltale Games,M
0,Mega Man Network Transmission,GC,GC,2003,Platform,Capcom,65,28,7.6,13,Arika,E
0,Densetsu no Stafi 4,DS,DS,2006,Platform,Nintendo,,,,,,
0,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,PS2,2008,Role-Playing,Atlus,,,,,,
0,Fairytale Fights,PS3,PS3,2009,Action,Playlogic Game Factory,53,34,6.0,22,"Playlogic, The Game Factory",M
0,How to Train Your Dragon 2,X360,X360,2014,Adventure,Little Orbit,,,2.9,7,Torus Games,E10+
0,Tokimeki Memorial: Private Collection,PS,PS,1996,Misc,Konami Digital Entertainment,,,,,,
0,Magical Starsign (US sales),DS,DS,2006,Role-Playing,Nintendo,,,,,,
0,RC Revenge Pro,PS2,PS2,2000,Racing,Acclaim Entertainment,49,13,7.6,7,Acclaim,E
0,G-Force,X360,X360,2009,Action,Disney Interactive Studios,68,33,7.0,9,Eurocom Entertainment Software,E10+
0,Surf's Up,Wii,Wii,2007,Sports,Ubisoft,64,9,,,Ubisoft Montreal,E10+
0,Buzz! Brain of the UK,PS3,PS3,2009,Misc,Sony Computer Entertainment,,,,,,
0,Backyard Wrestling: Don't Try This at Home,XB,XB,2003,Fighting,Eidos Interactive,50,15,5.0,7,Paradox Development,M
0,Gauntlet: Dark Legacy,XB,XB,2002,Action,Midway Games,54,9,8.9,10,Midway,T
0,Far East of Eden II: Manji Maru,PS2,PS2,2003,Role-Playing,Hudson Soft,,,,,,
0,Time and Eternity,PS3,PS3,2012,Role-Playing,Nippon Ichi Software,42,40,5.0,78,"Image Epoch, Imageepoch",T
0,Lost Kingdoms,GC,GC,2002,Role-Playing,Activision,72,22,8.0,15,From Software,T
0,Brunswick Cosmic Bowling,Wii,Wii,2010,Sports,GameMill Entertainment,,,,,CokeM Interactive,E
0,Pursuit Force: Extreme Justice,PSP,PSP,2007,Action,Sony Computer Entertainment,73,44,7.6,11,Bigbig Studios,T
0,Disney Sing It: Family Hits,PS3,PS3,2010,Misc,Disney Interactive Studios,72,4,,,Disney Interactive Studios,E
0,Matchbox Cross Town Heroes,GBA,GBA,2002,Racing,THQ,,,,,,
0,The Cursed Crusade,PS3,PS3,2011,Action,DTP Entertainment,45,17,5.0,26,Kylotonn,M
0,Ridge Racer Unbounded,PS3,PS3,2012,Racing,Namco Bandai Games,72,20,6.0,29,Bugbear,T
0,Wolfenstein 3D,GBA,GBA,2002,Shooter,BAM! Entertainment,57,9,6.0,7,Stalker Entertainment,M
0,Nobunaga no Yabou: Tenshoki,SNES,SNES,1996,Strategy,Tecmo Koei,,,,,,
0,NHL 07,PSP,PSP,2006,Sports,Electronic Arts,76,7,6.6,23,EA Sports,E10+
0,I'm A Celebrity: Get Me Out of Here!,Wii,Wii,2009,Misc,Mindscape,,,,,,
0,Dementium: The Ward,DS,DS,2007,Shooter,SouthPeak Games,72,48,7.9,37,Renegade Kid,M
0,Mobile Suit Gundam: Extreme VS Force,PSV,PSV,2015,Action,Namco Bandai Games,57,25,7.3,15,Bandai Namco Games,E10+
0,Dragon Quest X,3DS,3DS,2014,Role-Playing,Square Enix,,,,,,
0,Learning to Spell,DS,DS,2010,Misc,505 Games,,,,,505 Games,E
0,TRON: Evolution,DS,DS,2010,Action,Disney Interactive Studios,58,5,,,n-Space,E10+
0,Sudoku Gridmaster,DS,DS,2006,Puzzle,Nintendo,62,14,,,AI,E
0,NASCAR '14,X360,X360,2014,Racing,Deep Silver,65,4,5.1,14,Deep Silver,E
0,Super Power League,SNES,SNES,1993,Sports,Hudson Soft,,,,,,
0,Bakugan Battle Brawlers: Defenders of the Core,PS3,PS3,2010,Action,Activision,50,7,,,Now Production,E10+
0,Green Lantern: Rise of the Manhunters,PS3,PS3,2011,Action,Warner Bros. Interactive Entertainment,61,12,6.7,17,Double Helix Games,T
0,Street Fighter Alpha 2,SNES,SNES,1996,Fighting,Nintendo,,,,,,
0,25 to Life,XB,XB,2006,Shooter,Eidos Interactive,41,20,7.2,13,"Ritual Entertainment, Avalanche Software",M
0,Squeeballs Party,DS,DS,2009,Puzzle,Performance Designed Products,,,,,Eiconic Games,E10+
0,Naval Assault: The Killing Tide,X360,X360,2010,Simulation,505 Games,40,11,4.2,5,Artech Studios,T
0,NASCAR '15,X360,X360,2015,Sports,Deep Silver,,,3.8,6,DMi Games,E
0,NCAA Basketball 09,PS3,PS3,2008,Sports,Electronic Arts,68,17,,,EA Canada,E
0,Sega Superstars,PS2,PS2,2004,Misc,Sega,72,28,7.0,5,Sonic Team,T
0,MLB 11: The Show,PSP,PSP,2011,Sports,Sony Computer Entertainment,77,9,6.0,5,SCEA San Diego Studios,E
0,Bomberman Land,Wii,Wii,2007,Misc,Rising Star Games,57,23,8.0,10,Racjin,E
0,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,DS,2009,Action,Take-Two Interactive,,,,,,
0,Midway Arcade Treasures,GC,GC,2003,Misc,Midway Games,72,11,8.2,5,Midway,T
0,Leisure Suit Larry: Magna Cum Laude,XB,XB,2004,Adventure,Vivendi Games,62,49,6.4,13,High Voltage Software,M
0,Mousetrap / Operation / Simon,GBA,GBA,2005,Misc,DSI Games,,,,,,
0,Pac-Man World 3,DS,DS,2005,Platform,Namco Bandai Games,44,8,,,"Blitz Games, Human Soft",E
0,Shawn Johnson Gymnastics,Wii,Wii,2010,Sports,Zoo Games,,,,,Zoo Games,E
0,NBA 09: The Inside,PS2,PS2,2008,Sports,Sony Computer Entertainment,,,,,SCEA San Diego Studios,E
0,One Piece: Pirate Warriors 3,PSV,PSV,2015,Action,Namco Bandai Games,76,4,6.3,17,Omega Force,T
0,Jikkyou Powerful Pro Yakyuu 2014,PS3,PS3,2014,Sports,Konami Digital Entertainment,,,,,,
0,Resident Evil,SAT,SAT,1997,Action,Capcom,,,,,,
0,TOEIC Test Training DS,DS,DS,2007,Misc,IE Institute,,,,,,
0,Itoi Shigesato no Bass Tsuri No. 1,SNES,SNES,1997,Sports,Nintendo,,,,,,
0,ZhuZhu Puppies,DS,DS,2011,Simulation,Activision,,,,,Activision,E
0,Cubivore: Survival of the Fittest,GC,GC,2002,Adventure,Nintendo,71,12,8.5,21,Nintendo,E
0,7th Dragon III Code: VFD,3DS,3DS,2015,Role-Playing,Sega,77,26,8.2,38,Sega,T
0,FlatOut,XB,XB,2004,Racing,Empire Interactive,71,39,8.2,21,Bugbear,T
0,Chaotic: Shadow Warriors,PS3,PS3,2009,Action,Activision,,,,,FUN Labs,E10+
0,Mr. Do!'s Castle,2600,Atari2600,1983,Action,Parker Bros.,,,,,,
0,Death Trap,2600,Atari2600,1982,Action,Avalon Interactive,,,,,,
0,Armor Ambush,2600,Atari2600,1981,Action,Mattel Interactive,,,,,,
0,Parodius,SAT,SAT,1995,Shooter,Konami Digital Entertainment,,,,,,
0,Easy Piano,DS,DS,2009,Misc,Game Life,52,4,,,Game Life,E
0,Blood Bowl,X360,X360,2009,Sports,Focus Home Interactive,61,28,5.1,19,Cyanide,T
0,Taz Wanted,PS2,PS2,2002,Platform,Atari,65,7,8.7,9,Blitz Games,E
0,Far Cry: Primal,PC,PC,2016,Action,Ubisoft,74,18,4.8,368,Ubisoft Montreal,M
0,Sid Meier's Civilization IV,PC,PC,2005,Strategy,Take-Two Interactive,94,50,8.3,909,Firaxis Games,E10+
0,Zoo Keeper,DS,DS,2004,Puzzle,Ignition Entertainment,74,40,7.5,13,"Buddiez, Inc.",E
0,Phantasy Star Online 2,PSV,PSV,2013,Role-Playing,Sega,,,,,,
0,Vehicular Combat League presents Motor Mayhem,PS2,PS2,2001,Racing,Atari,,,,,,
0,Chuck E. Cheese's Party Games,Wii,Wii,2010,Misc,UFO Interactive,,,,,UFO Interactive,E
0,Pursuit Force,PSP,PSP,2005,Racing,Sony Computer Entertainment,75,59,7.8,26,Bigbig Studios,T
0,PoPoLoCrois: Hajimari no Bouken,PS2,PS2,2002,Role-Playing,Sony Computer Entertainment,,,,,,
0,Star Wars: Super Bombad Racing,PS2,PS2,2001,Racing,LucasArts,71,21,4.9,8,Lucas Learning,E
0,TransFormers Animated: The Game,DS,DS,2008,Action,Activision,69,15,,,Artificial Mind and Movement,E
0,Hamster Heroes,Wii,Wii,2008,Puzzle,Popcorn Arcade,,,,,,
0,Hot Wheels Velocity X,GBA,GBA,2002,Racing,THQ,,,,,,
0,Driver: San Francisco,Wii,Wii,2011,Racing,Ubisoft,64,7,6.2,10,Ubisoft Reflections,T
0,Alien Resurrection,PS,PS,2000,Shooter,Fox Interactive,61,12,7.5,15,Argonaut Games,M
0,World Tour Soccer 2005,PS2,PS2,2004,Sports,Sony Computer Entertainment,68,28,9.0,6,SCEE London Studio,E
0,Disney Friends,DS,DS,2007,Simulation,Disney Interactive Studios,,,7.3,4,"Amaze Entertainment, Walt Disney Japan",E
0,ESPN College Hoops,PS2,PS2,2003,Sports,Sega,83,14,8.5,8,Visual Concepts,E
0,Dengeki Bunko Fighting Climax,PS3,PS3,2014,Fighting,Sega,66,13,8.2,29,"Sega, French-Bread",T
0,F1 Championship Season 2000,PS2,PS2,2000,Racing,Electronic Arts,71,11,,,EA Sports,E
0,Leisure Suit Larry: Box Office Bust,X360,X360,2009,Adventure,Codemasters,25,27,2.5,41,Team 17,M
0,Pen 1 Grand Prix: Penguin no Mondai Special,DS,DS,2009,Fighting,Konami Digital Entertainment,,,,,,
0,Robotech: Battlecry,GC,GC,2002,Shooter,TDK Mediactive,74,11,8.4,5,Vicious Cycle,T
0,Zapper: One Wicked Cricket!,PS2,PS2,2002,Platform,Infogrames,,,,,,
0,Bomberman Land,PS,PS,2000,Misc,Hudson Soft,,,,,,
0,Clash of the Titans,X360,X360,2010,Action,Namco Bandai Games,42,31,4.1,17,Game Republic,T
0,Pro Evolution Soccer 2014,PSP,PSP,2013,Action,Konami Digital Entertainment,,,,,Konami,E
0,Paws & Claws: Pet Resort,GBA,GBA,2006,Simulation,THQ,,,,,,
0,Kya: Dark Lineage,PS2,PS2,2003,Adventure,Atari,69,25,8.9,28,Eden Studios,T
0,Mirror's Edge Catalyst,XOne,XOne,2016,Platform,Electronic Arts,72,46,4.4,266,EA DICE,T
0,Curious George,GBA,GBA,2006,Action,Namco Bandai Games,65,5,,,Torus Games,E
0,Stronghold 3,PC,PC,2011,Strategy,N/A,47,29,3.0,350,FireFly Studios,T
0,Lethal Skies II,PS2,PS2,2003,Simulation,Sammy Corporation,73,26,,,"Asmik Ace Entertainment, Inc",T
0,F1 2011,3DS,3DS,2011,Racing,Codemasters,59,15,6.8,13,Codemasters,E
0,Kamaitachi no Yoru × 3,PS2,PS2,2006,Adventure,Sega,,,,,,
0,Guilty Gear Judgment,PSP,PSP,2006,Fighting,Majesco Entertainment,77,17,6.6,8,Arc System Works,T
0,Tom and Jerry: Infurnal Escape,GBA,GBA,2003,Action,Ubisoft,,,,,,
0,NCAA Football 09 All-Play,Wii,Wii,2008,Sports,Electronic Arts,49,5,5.8,32,EA Canada,E
0,Splatterhouse,PS3,PS3,,Action,Namco Bandai Games,59,49,7.7,67,"Namco Bandai Games America, Namco Bandai Games",M
0,The Legend of Heroes VII: The Trail of Zero,PSP,PSP,2010,Role-Playing,Falcom Corporation,,,,,,
0,Doctor Lautrec and the Forgotten Knights,3DS,3DS,2011,Adventure,Konami Digital Entertainment,53,19,6.1,8,WinkySoft,E10+
0,King's Field,PS,PS,1995,Role-Playing,Sony Computer Entertainment,,,,,,
0,Let's Ride: Sunshine Stables,GBA,GBA,2005,Sports,DTP Entertainment,,,,,,
0,World Stadium 4,PS,PS,2000,Sports,Namco Bandai Games,,,,,,
0,Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,DS,2006,Action,Disney Interactive Studios,,,,,WayForward,E
0,Midway Arcade Treasures 2,GC,GC,2004,Misc,Midway Games,74,21,,,Backbone Entertainment,M
0,Hot Wheels World Race,GC,GC,2003,Racing,THQ,59,5,7.0,5,Climax Group,E
0,San Goku Shi Taisen DS,DS,DS,2007,Strategy,Sega,,,,,,
0,Monster Jam,Wii,Wii,2007,Racing,Activision,,,7.8,8,Activision,E
0,Kawa no Nushi Tsuri,PS,PS,1998,Sports,Victor Interactive,,,,,,
0,Castlevania Judgment,Wii,Wii,2008,Fighting,Konami Digital Entertainment,49,33,5.9,56,Eighting,T
0,Magic: The Gathering - Battlegrounds,XB,XB,2003,Strategy,Atari,,,,,,
0,N2O: Nitrous Oxide,PS,PS,1998,Racing,Gremlin Interactive Ltd,,,,,,
0,Dancing With The Stars,PS2,PS2,2007,Misc,Activision,,,,,Zoe Mode,E10+
0,Apache: Air Assault,X360,X360,2010,Simulation,Activision,70,26,6.4,31,Gaijin Entertainment,T
0,Aliens: Infestation,DS,DS,2011,Action,Sega,76,43,8.2,29,"Gearbox Software, WayForward",T
0,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,3DS,2015,Simulation,Marvelous Entertainment,72,28,6.8,15,Marvelous Inc.,E10+
0,Angry Birds Trilogy,PS3,PS3,2012,Action,Activision,66,8,3.7,20,"Rovio Mobile, Rovio Entertainment",E
0,Otogirisou,SNES,SNES,1992,Adventure,ChunSoft,,,,,,
0,SD Gundam G Generation 3D,3DS,3DS,2011,Role-Playing,Namco Bandai Games,,,,,,
0,Crash Tag Team Racing,GC,GC,2005,Racing,Vivendi Games,66,14,7.3,11,Radical Entertainment,E10+
0,El Shaddai: Ascension of the Metatron,X360,X360,2011,Action,Ignition Entertainment,75,44,7.0,47,Ignition Entertainment,T
0,NPPL: Championship Paintball 2009,PS3,PS3,2008,Shooter,Activision Value,45,9,7.4,10,FUN Labs,E10+
0,True Swing Golf,DS,DS,2005,Sports,Nintendo,66,32,7.7,11,T&E Soft,E
0,TimeSplitters: Future Perfect,XB,XB,2005,Shooter,Electronic Arts,83,54,8.9,35,Free Radical Design,M
0,Hannah Montana: Rock Out the Show,PSP,PSP,2009,Misc,Disney Interactive Studios,,,,,,
0,Zoo Hospital,Wii,Wii,2008,Simulation,Majesco Entertainment,61,4,,,Torus Games,E
0,Family Feud Decades,Wii,Wii,2010,Misc,Ubisoft,,,,,Ludia,E10+
0,Midway Arcade Treasures 3,PS2,PS2,2005,Misc,Midway Games,67,23,,,Digital Eclipse,E
0,Goosebumps HorrorLand,Wii,Wii,2008,Adventure,Scholastic Inc.,37,4,3.5,8,SScholastic Media,E10+
0,Dr. Muto,PS2,PS2,2002,Platform,Midway Games,,,,,,
0,Thrillville: Off the Rails,X360,X360,2007,Strategy,LucasArts,73,24,2.8,34,Frontier Developments,E10+
0,DS Rakubiki Jiten,DS,DS,2005,Misc,Nintendo,,,,,,
0,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,PS2,2005,Adventure,Activision,,,,,,
0,Fatal Frame II: Crimson Butterfly,PS2,PS2,2003,Action,Ubisoft,81,40,9.2,100,Tecmo,M
0,Murdered: Soul Suspect,XOne,XOne,2014,Action,Square Enix,51,17,7.0,130,Airtight Games,M
0,Shadow Man: 2econd Coming,PS2,PS2,2002,Adventure,Acclaim Entertainment,68,24,7.6,8,Acclaim,M
0,Yu-Gi-Oh! 5D's Tag Force 6,PSP,PSP,2011,Strategy,Konami Digital Entertainment,,,,,,
0,Dynasty Warriors 4,XB,XB,2003,Action,Tecmo Koei,75,18,8.8,18,Omega Force,T
0,Warriors Orochi 3,X360,X360,2011,Action,Ubisoft Annecy,71,9,8.1,19,Omega Force,T
0,Wakeboarding Unleashed Featuring Shaun Murray,PS2,PS2,2003,Sports,Activision,83,23,9.0,12,Shaba Games,E
0,The Incredibles: Rise of the Underminer,GC,GC,2005,Action,THQ,67,7,6.6,7,Heavy Iron Studios,E10+
0,Beowulf: The Game,PS3,PS3,2007,Action,Ubisoft,51,18,5.2,17,Ubisoft,M
0,Dewy's Adventure,Wii,Wii,2007,Platform,Konami Digital Entertainment,67,29,6.3,15,Konami,E
0,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,SNES,1997,Sports,Konami Digital Entertainment,,,,,,
0,Alone in the Dark: The New Nightmare,PS,PS,,Adventure,Infogrames,77,15,8.1,40,Darkworks,M
0,The BIGS,PS3,PS3,2007,Sports,Take-Two Interactive,77,19,7.2,12,Blue Castle Games,E
0,Fracture,PS3,PS3,2008,Shooter,LucasArts,62,40,5.8,18,Day 1 Studios,T
0,Flushed Away,GC,GC,2006,Platform,D3Publisher,47,4,,,Monkey Bar Games,E
0,NBA Live 08,Wii,Wii,2007,Sports,Electronic Arts,52,11,7.1,21,EA Canada,E
0,Summon Night EX-Thesis: Yoake no Tsubasa,PS2,PS2,2005,Role-Playing,Banpresto,,,,,,
0,Hyperdimension Neptunia Victory,PS3,PS3,2012,Role-Playing,Compile Heart,55,19,7.8,94,"Idea Factory, Compile Heart",T
0,Pro Yaky? Spirits 3,PS2,PS2,2006,Sports,Konami Digital Entertainment,,,,,,
0,Silent Scope 3,PS2,PS2,2002,Shooter,Konami Digital Entertainment,61,12,,,KCET,M
0,NASCAR Heat 2002,GBA,GBA,2002,Racing,Infogrames,52,4,,,Crawfish Interactive,E
0,Marble Saga: Kororinpa,Wii,Wii,2009,Puzzle,Konami Digital Entertainment,74,16,7.3,6,Hudson Entertainment,E
0,Namco Classic Fighter Collection,PS2,PS2,2008,Fighting,Namco Bandai Games,,,,,Namco Bandai Games America,T
0,International Superstar Soccer Deluxe,SNES,SNES,1995,Sports,Konami Digital Entertainment,,,,,,
0,Family Game Night 4: The Game Show,Wii,Wii,2011,Misc,Electronic Arts,,,,,Electronic Arts,E
0,Intellivision Lives!,PS2,PS2,2003,Misc,Play It,,,,,,
0,Robots,GC,GC,2005,Action,Vivendi Games,56,4,,,Eurocom Entertainment Software,E
0,WRC 2: FIA World Rally Championship,PS3,PS3,2011,Racing,Ubisoft,,,,,,
0,The King of Fighters XII,PS3,PS3,2009,Fighting,Ignition Entertainment,57,48,5.3,46,SNK Playmore,T
0,Tak: Mojo Mistake,DS,DS,2008,Action,THQ,,,,,THQ,E
0,Lego Star Wars: The Force Awakens,PS3,PS3,2016,Action,Warner Bros. Interactive Entertainment,,,,,TT Games,E10+
0,Dungeon Siege: Throne of Agony,PSP,PSP,2006,Role-Playing,Take-Two Interactive,74,32,8.1,21,SuperVillain Studios,T
0,Rio,DS,DS,2011,Misc,THQ,59,5,,,THQ,E
0,SimEarth: The Living Planet,SNES,SNES,1991,Simulation,Imagineer,,,,,,
0,Finding Nemo: Escape to the Big Blue,DS,DS,2006,Action,THQ,66,5,,,Altron,E
0,Sengoku Basara: Chronicle Heroes,PSP,PSP,2011,Action,Capcom,,,,,,
0,Grease Dance,X360,X360,2011,Misc,505 Games,,,,,505 Games,T
0,Culdcept SAGA,X360,X360,2006,Role-Playing,Namco Bandai Games,75,33,8.7,49,"Omiya Soft, Jamsworks",T
0,The Wild Thornberrys: Chimp Chase,GBA,GBA,2001,Action,THQ,,,,,Helixe,E
0,Power Stakes,PS,PS,1997,Sports,Aques,,,,,,
0,World Series of Poker: Tournament of Champions 2007 Edition,X360,X360,2006,Misc,Activision,,,,,,
0,Tom and Jerry in Fists of Furry,N64,N64,2000,Fighting,Ubisoft,,,,,,
0,Hydro Thunder,N64,N64,2000,Racing,Midway Games,,,,,,
0,Destruction Derby 64,N64,N64,1999,Racing,THQ,,,,,,
0,Space Invaders,N64,N64,1999,Shooter,Activision,,,,,,
0,Starcraft 64,N64,N64,2000,Strategy,Nintendo,,,,,,
0,Buck Bumble,N64,N64,1998,Action,Ubisoft,,,,,,
0,California Speed,N64,N64,1999,Misc,Midway Games,,,,,,
0,Wonder Project J2: Koruro no Mori no Josette,N64,N64,1996,Simulation,Enix Corporation,,,,,,
0,Asteroids Hyper 64,N64,N64,1999,Shooter,Crave Entertainment,,,,,,
0,The Powerpuff Girls: Chemical X-Traction,N64,N64,2001,Action,BAM! Entertainment,,,,,,
0,Fighters Destiny,N64,N64,1998,Fighting,Ocean,,,,,,
0,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,N64,2001,Sports,Konami Digital Entertainment,,,,,,
0,The Crew,PC,PC,2014,Racing,Ubisoft,71,12,6.4,463,"Ubisoft Reflections, Ivory Tower",T
0,Ready 2 Rumble Revolution,Wii,Wii,2009,Sports,Atari,37,31,,,10tacle Studios,T
0,Create,PS3,PS3,2010,Action,Electronic Arts,61,23,5.2,5,EA Bright Light,E
0,Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,DS,2006,Misc,TDK Core,,,,,,
0,Macross Ace Frontier,PSP,PSP,2008,Simulation,Namco Bandai Games,,,,,,
0,Black & Bruised,PS2,PS2,2003,Fighting,Vivendi Games,,,,,,
0,Eragon,DS,DS,2006,Action,Vivendi Games,63,17,7.6,13,Amaze Entertainment,T
0,TimeShift,PS3,PS3,2007,Shooter,Vivendi Games,70,16,6.3,27,Saber Interactive,M
0,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,PS2,2006,Role-Playing,Namco Bandai Games,,,,,,
0,Rapala Pro Fishing,XB,XB,2004,Sports,Zoo Digital Publishing,59,7,,,FUN Labs,E
0,Spyro: Shadow Legacy,DS,DS,2005,Action,Vivendi Games,50,18,5.7,16,Amaze Entertainment,E
0,Just Dance: Disney Party,X360,X360,2012,Misc,Ubisoft,,,,,"Disney Interactive Studios, Land Ho!",E
0,The Sims 3: Seasons,PC,PC,2012,Simulation,Electronic Arts,73,12,7.5,48,The Sims Studio,T
0,Our House,DS,DS,2009,Strategy,Majesco Entertainment,,,,,BudCat,E
0,Bakugan Battle Brawlers: Defenders of the Core,Wii,Wii,2010,Action,Activision,,,,,Now Production,E10+
0,Guilty Gear Xrd: Sign,PS4,PS4,2014,Fighting,Arc System Works,,,,,,
0,Sid Meier's Pirates!,Wii,Wii,2010,Strategy,Take-Two Interactive,,,,,,
0,Scarface: Money. Power. Respect.,PSP,PSP,2006,Strategy,Vivendi Games,58,12,3.1,15,Radical Entertainment,M
0,Angry Birds Star Wars,XOne,XOne,2013,Strategy,Activision,53,4,6.9,63,Exient Entertainment,E
0,Ghost in the Shell: Stand Alone Complex,PS2,PS2,2004,Adventure,Namco Bandai Games,,,,,,
0,Blitz: The League,X360,X360,2006,Sports,Midway Games,69,23,6.5,14,Midway,M
0,Battle Soccer: Field no Hasha,SNES,SNES,1992,Sports,Banpresto,,,,,,
0,Yakuza Kiwami,PS4,PS4,2016,Adventure,Sega,,,,,Ryu ga Gotoku Studios,
0,NBA 2K12,PC,PC,2011,Sports,Take-Two Interactive,86,5,7.1,66,Visual Concepts,E
0,Take A Break's: Puzzle Master,DS,DS,2009,Puzzle,Ubisoft,,,,,,
0,Ener-G: Dance Squad,DS,DS,2008,Sports,Ubisoft,,,,,Lexis Numerique,E
0,Rudolph the Red-Nosed Reindeer,Wii,Wii,2010,Action,Crave Entertainment,,,,,High Voltage Software,E
0,FlatOut 2,PS2,PS2,2006,Racing,Empire Interactive,73,44,7.5,27,Bugbear,T
0,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,PSP,2006,Fighting,Atari,64,20,7.8,17,CyberConnect2,T
0,Despicable Me: The Game,PSP,PSP,2010,Platform,D3Publisher,,,,,,
0,FIFA Soccer 96,PS,PS,1995,Sports,Electronic Arts,,,,,,
0,NCAA Final Four 2001,PS,PS,2000,Sports,Sony Computer Entertainment,55,7,,,989 Sports,E
